scenario,group,discipline,service_distribution,capacity,age_threshold,simulated_time,server_utilization,avg_queue_length,avg_system_length,throughput,mean_wait_A,mean_wait_B,mean_wait_total,mean_sojourn_A,mean_sojourn_B,mean_sojourn_total,p95_wait_total,drop_rate_total,drop_rate_A,drop_rate_B,promoted_fraction_A,completed_A,completed_B,replication
dinamica_servico_erlang2,distribuicoes_servico,dynamic_aging,erlang2,,2.0,33144.922525415765,0.7532409167506237,1.781166524297977,2.534407441048567,0.7542633409636067,2.6475421700125215,1.7811160053739545,2.3606857954239846,3.643243508003727,2.7857068418419684,3.359330268570892,8.776755006609164,0.0,0.0,0.0,0.43851258444431157,16723,8277,3
dinamica_servico_erlang2,distribuicoes_servico,dynamic_aging,erlang2,,2.0,33699.5568600246,0.7410504949966635,1.5700047054074293,2.3110552004040996,0.7418495176016909,2.3742724129234207,1.5992135205215565,2.115960785263727,3.3716429069704317,2.6012420727915373,3.1148837169552896,7.7454740842458705,0.0,0.0,0.0,0.4149721072521145,16668,8332,4
dinamica_servico_erlang2,distribuicoes_servico,dynamic_aging,erlang2,,2.0,32974.49565756542,0.7626112466391359,1.8028639066288719,2.5654751532680073,0.7581617095715666,2.6629725551752825,1.781292550073332,2.37790777592572,3.6687236839808506,2.7874077789127973,3.383776625554247,8.521423199325,0.0,0.0,0.0,0.4557867360208062,16917,8083,5
dinamica_servico_erlang2,distribuicoes_servico,dynamic_aging,erlang2,,2.0,33788.337710775304,0.731789862556582,1.5053015126803384,2.2370913752369095,0.7399002642271848,2.323963708644043,1.45502226397836,2.034362903965864,3.315009657809322,2.4400449630538437,3.023401424341216,7.482418999639776,0.0,0.0,0.0,0.40755848830233954,16668,8332,6
dinamica_servico_erlang2,distribuicoes_servico,dynamic_aging,erlang2,,2.0,33553.974994505246,0.7489558228574066,1.6622276065498534,2.4111834294072385,0.7450682073910458,2.5302258018400496,1.6145030569494903,2.2309676088098147,3.5328222128056823,2.6251208483319486,3.2361854068956664,7.96297621548365,0.0,0.0,0.0,0.4414141414141414,16830,8170,7
dinamica_buffer_infinito,armazenamento,dynamic_aging,exponential,,2.0,32890.145698037435,0.7548032964345927,2.473105483058255,3.227908779492844,0.7601060885994116,3.5574560358637015,2.6484002312832082,3.253540499276351,4.547805757688979,3.646747960701301,4.246564115000059,12.16549742832467,0.0,0.0,0.0,0.495643814216187,16642,8358,1
dinamica_buffer_infinito,armazenamento,dynamic_aging,exponential,,2.0,33147.764017726084,0.7618769334037364,2.354206242902917,3.116083176306612,0.7541986840087015,3.434343322936269,2.5020413233989864,3.1197473362124084,4.445242565460388,3.5108110893836657,4.129928008173059,11.142726358382788,0.0,0.0,0.0,0.5097767048883525,16564,8436,2
dinamica_buffer_infinito,armazenamento,dynamic_aging,exponential,,2.0,33405.42957494782,0.7457568267526811,2.0770033396327268,2.8227601663853745,0.7483813355523674,3.091914252118189,2.141065404551652,2.775205517970727,4.095050863320543,3.1242562821241773,3.7716986042156573,9.98387687101058,0.0,0.0,0.0,0.47852944704330097,16673,8327,3
dinamica_buffer_infinito,armazenamento,dynamic_aging,exponential,,2.0,33131.87949068356,0.7533931862409214,2.355037800886464,3.108430987127368,0.7545602719890918,3.4191994262517427,2.514196682158547,3.1204037202619332,4.4195058912331735,3.5088901874962533,4.118857010487392,11.475463822207757,0.0,0.0,0.0,0.4995820895522388,16746,8254,4
dinamica_buffer_infinito,armazenamento,dynamic_aging,exponential,,2.0,33039.30570566711,0.755136077613318,2.1988728889170983,2.954008966530449,0.7566744962110945,3.2073302586488577,2.297197814255475,2.9054939347902367,4.214669746792351,3.2762758760399993,3.903460803496041,10.43988013544731,0.0,0.0,0.0,0.49362771495243224,16709,8291,5
dinamica_buffer_infinito,armazenamento,dynamic_aging,exponential,,2.0,33532.62125860536,0.7501050296715377,2.09410936516846,2.844214394839992,0.7455426704401863,3.107918711823317,2.2039985296081035,2.8088296019319468,4.114656358996388,3.20886802939521,3.8149491164979503,10.156880826951237,0.0,0.0,0.0,0.4757008787136111,16728,8272,6
